ciclo,C,NC
1,111,89
2,111,89
3,111,89
4,111,89
5,111,89
6,111,89
7,111,89
8,111,89
9,111,89
10,111,89
11,111,89
12,111,89
13,111,89
14,111,89
15,111,89
16,111,89
17,111,89
18,111,89
19,111,89
20,111,89
21,111,89
22,111,89
23,111,89
24,111,89
25,111,89
26,111,89
27,111,89
28,111,89
29,111,89
30,111,89
31,111,89
32,111,89
33,111,89
34,111,89
35,111,89
36,111,89
37,111,89
38,111,89
39,111,89
40,111,89
41,111,89
42,111,89
43,111,89
44,111,89
45,111,89
46,111,89
47,111,89
48,111,89
49,111,89
50,111,89
51,111,89
52,111,89
53,111,89
54,111,89
55,111,89
56,111,89
57,111,89
58,111,89
59,111,89
60,111,89
61,111,89
62,111,89
63,111,89
64,111,89
65,111,89
66,111,89
67,111,89
68,111,89
69,111,89
70,111,89
71,111,89
72,111,89
73,111,89
74,111,89
75,111,89
76,111,89
77,111,89
78,111,89
79,111,89
80,111,89
81,111,89
82,111,89
83,111,89
84,111,89
85,111,89
86,111,89
87,111,89
88,111,89
89,111,89
90,111,89
91,111,89
92,111,89
93,111,89
94,111,89
95,111,89
96,111,89
97,111,89
98,111,89
99,111,89
100,112,88
101,112,88
102,112,88
103,112,88
104,112,88
105,112,88
106,112,88
107,112,88
108,112,88
109,112,88
110,112,88
111,112,88
112,112,88
113,112,88
114,112,88
115,112,88
116,112,88
117,112,88
118,112,88
119,112,88
120,112,88
121,112,88
122,112,88
123,112,88
124,112,88
125,112,88
126,112,88
127,112,88
128,112,88
129,112,88
130,112,88
131,112,88
132,112,88
133,112,88
134,112,88
135,112,88
136,112,88
137,112,88
138,112,88
139,112,88
140,112,88
141,112,88
142,112,88
143,112,88
144,112,88
145,112,88
146,112,88
147,112,88
148,112,88
149,112,88
150,112,88
151,112,88
152,112,88
153,112,88
154,112,88
155,112,88
156,112,88
157,112,88
158,112,88
159,112,88
160,112,88
161,112,88
162,112,88
163,112,88
164,112,88
165,112,88
166,112,88
167,112,88
168,112,88
169,112,88
170,112,88
171,112,88
172,112,88
173,112,88
174,112,88
175,112,88
176,112,88
177,112,88
178,112,88
179,112,88
180,112,88
181,112,88
182,112,88
183,112,88
184,112,88
185,112,88
186,112,88
187,112,88
188,112,88
189,112,88
190,112,88
191,112,88
192,112,88
193,112,88
194,112,88
195,112,88
196,112,88
197,112,88
198,112,88
199,112,88
200,115,85
201,115,85
202,115,85
203,115,85
204,115,85
205,115,85
206,115,85
207,115,85
208,115,85
209,115,85
210,115,85
211,115,85
212,115,85
213,115,85
214,115,85
215,115,85
216,115,85
217,115,85
218,115,85
219,115,85
220,115,85
221,115,85
222,115,85
223,115,85
224,115,85
225,115,85
226,115,85
227,115,85
228,115,85
229,115,85
230,115,85
231,115,85
232,115,85
233,115,85
234,115,85
235,115,85
236,115,85
237,115,85
238,115,85
239,115,85
240,115,85
241,115,85
242,115,85
243,115,85
244,115,85
245,115,85
246,115,85
247,115,85
248,115,85
249,115,85
250,115,85
251,115,85
252,115,85
253,115,85
254,115,85
255,115,85
256,115,85
257,115,85
258,115,85
259,115,85
260,115,85
261,115,85
262,115,85
263,115,85
264,115,85
265,115,85
266,115,85
267,115,85
268,115,85
269,115,85
270,115,85
271,115,85
272,115,85
273,115,85
274,115,85
275,115,85
276,115,85
277,115,85
278,115,85
279,115,85
280,115,85
281,115,85
282,115,85
283,115,85
284,115,85
285,115,85
286,115,85
287,115,85
288,115,85
289,115,85
290,115,85
291,115,85
292,115,85
293,115,85
294,115,85
295,115,85
296,115,85
297,115,85
298,115,85
299,115,85
300,113,87
301,113,87
302,113,87
303,113,87
304,113,87
305,113,87
306,113,87
307,113,87
308,113,87
309,113,87
310,113,87
311,113,87
312,113,87
313,113,87
314,113,87
315,113,87
316,113,87
317,113,87
318,113,87
319,113,87
320,113,87
321,113,87
322,113,87
323,113,87
324,113,87
325,113,87
326,113,87
327,113,87
328,113,87
329,113,87
330,113,87
331,113,87
332,113,87
333,113,87
334,113,87
335,113,87
336,113,87
337,113,87
338,113,87
339,113,87
340,113,87
341,113,87
342,113,87
343,113,87
344,113,87
345,113,87
346,113,87
347,113,87
348,113,87
349,113,87
350,113,87
351,113,87
352,113,87
353,113,87
354,113,87
355,113,87
356,113,87
357,113,87
358,113,87
359,113,87
360,113,87
361,113,87
362,113,87
363,113,87
364,113,87
365,113,87
366,113,87
367,113,87
368,113,87
369,113,87
370,113,87
371,113,87
372,113,87
373,113,87
374,113,87
375,113,87
376,113,87
377,113,87
378,113,87
379,113,87
380,113,87
381,113,87
382,113,87
383,113,87
384,113,87
385,113,87
386,113,87
387,113,87
388,113,87
389,113,87
390,113,87
391,113,87
392,113,87
393,113,87
394,113,87
395,113,87
396,113,87
397,113,87
398,113,87
399,113,87
400,116,84
401,116,84
402,116,84
403,116,84
404,116,84
405,116,84
406,116,84
407,116,84
408,116,84
409,116,84
410,116,84
411,116,84
412,116,84
413,116,84
414,116,84
415,116,84
416,116,84
417,116,84
418,116,84
419,116,84
420,116,84
421,116,84
422,116,84
423,116,84
424,116,84
425,116,84
426,116,84
427,116,84
428,116,84
429,116,84
430,116,84
431,116,84
432,116,84
433,116,84
434,116,84
435,116,84
436,116,84
437,116,84
438,116,84
439,116,84
440,116,84
441,116,84
442,116,84
443,116,84
444,116,84
445,116,84
446,116,84
447,116,84
448,116,84
449,116,84
450,116,84
451,116,84
452,116,84
453,116,84
454,116,84
455,116,84
456,116,84
457,116,84
458,116,84
459,116,84
